,highest_offense_description,year,count
142,FRAUD - OTHER,2003,107
143,FRAUD DESTRUCTION OF A WRITING,2003,9
144,FRAUD FILING FINANCE STATEMENT,2003,1
145,GAMBLING,2003,7
146,GAMBLING PROMOTION,2003,1
147,GRAFFITI,2003,86
148,HARASSMENT,2003,1985
149,HARBORING RUNAWAY CHILD,2003,15
150,HINDER SECURED CREDITORS,2003,9
151,HINDERING APPREHENSION,2003,9
152,IDENTITY THEFT,2003,422
153,IMMIGRATION HOLD/ARREST,2003,3
154,IMPERSONATING PUBLIC SERVANT,2003,17
155,INDECENCY WITH A CHILD/CONTACT,2003,195
156,INDECENCY WITH CHILD/EXPOSURE,2003,29
157,INDECENT EXPOSURE,2003,61
158,INHALANT ABUSE,2003,5
159,INJ TO DISABLED  FAM/DATE VIOL,2003,4
160,INJ TO ELDERLY   FAM/DATE VIOL,2003,7
161,INJ/CHILD FV (NO CARE/CUSTODY),2003,1
162,INJURY DISABLED INDIVIDUAL,2003,4
163,INJURY TO CHILD,2003,124
164,INJURY TO CHILD (CARE/CUSTODY),2003,37
165,INJURY TO ELDERLY PERSON,2003,4
166,INTER EMERG PHONECALL FAM/DATE,2003,5
167,INTERFERING W/EMERG PHONE CALL,2003,9
168,INVASIVE VISUAL RECORDING,2003,3
169,JUSTIFIED HOMICIDE,2003,1
170,KIDNAPPING,2003,9
171,LIQUOR LAW VIOLATION/OTHER,2003,95
172,LITTERING,2003,58
173,LOITERING IN PUBLIC PARK,2003,1
174,MAKING TOBACCO AVAIL TO MINOR,2003,8
175,MANF CONTROLLED SUB - OTHER,2003,4
176,MISAPPLY FIDUCIARY PROP,2003,5
177,MURDER,2003,6
178,NUISANCE ABATEMENT,2003,1
179,OBSCENE DISPLAY - DISTRIBUTION,2003,1
180,OBSCENITY,2003,2
181,OBTAIN CONTROLLED SUB BY FRAUD,2003,10
182,OBTAIN DANG DRUG BY FRAUD,2003,3
183,OFFICIAL MISCONDUCT,2003,1
184,OFFICIAL OPPRESSION,2003,1
185,PAROLE VIOL,2003,48
186,PIGEON DROP,2003,13
187,POCKET PICKING,2003,4
188,POSS CONTROLLED SUB/NARCOTIC,2003,989
189,POSS CONTROLLED SUB/OTHER,2003,53
190,POSS CONTROLLED SUB/SYN NARC,2003,3
191,POSS CRIMINAL INSTRUMENT,2003,2
192,POSS DANG DRUG,2003,44
193,POSS OF ALCOHOL - AGE 17 TO 20,2003,268
194,POSS OF ALCOHOL-AGE 16 & UNDER,2003,25
195,POSS OF DRUG PARAPHERNALIA,2003,1247
196,POSS OF FIREARM BY FELON,2003,27
197,POSS OF PRESCRIPTION FORM,2003,1
198,POSS OF PROHIBITED WEAPON,2003,28
199,POSS/PROMO CHILD PORNOGRAPHY,2003,8
200,POSSESSION OF MARIJUANA,2003,634
201,PROBATION VIOL,2003,16
202,PROMOTION OF PROSTITUTION,2003,1
203,PROSTITUTION,2003,209
204,PROTECTIVE ORDER,2003,223
205,PROWLER,2003,45
206,PUBLIC INTOXICATION,2003,2240
207,PUBLIC LEWDNESS,2003,14
208,PURSE SNATCHING,2003,13
209,RAPE,2003,117
210,RAPE OF A CHILD,2003,31
211,RECKLESS CONDUCT,2003,5
212,RECKLESS DAMAGE,2003,26
213,RESISTING ARREST OR SEARCH,2003,45
214,RETALIATION,2003,31
215,ROBBERY BY ASSAULT,2003,224
216,ROBBERY BY THREAT,2003,48
217,RUNAWAY CHILD,2003,1423
218,SALE OR PURCHASE OF CHILD,2003,2
219,SERIOUS INJURY TO A CHILD,2003,13
220,SEXUAL ASSAULT OF CHILD/OBJECT,2003,79
221,SEXUAL ASSAULT W/ OBJECT,2003,111
222,SLEEPING IN PUBLIC PLACE,2003,1
223,SMUGGLING ILLEGAL ALIEN,2003,1
224,SOLICITATION - BEGGING,2003,124
225,STALKING,2003,85
226,STATUTORY RAPE OF CHILD,2003,66
227,SUSPICIOUS PERSON,2003,689
228,TAMPERING WITH CONSUMER PROD,2003,1
229,TAMPERING WITH EVIDENCE,2003,20
230,TAMPERING WITH GOV RECORD,2003,16
231,TAMPERING WITH ID NUMBER,2003,2
232,TAMPERING WITH WITNESS,2003,1
233,TELECOMMUNICATION CRIMES/OTHER,2003,2
234,TERRORISTIC THREAT,2003,327
235,TERRORISTIC THREAT-FAM/DAT VIO,2003,33
236,THEFT,2003,4367
237,THEFT BY CHECK,2003,24
238,THEFT BY EMBEZZLEMENT,2003,33
239,THEFT BY EXTORTION,2003,2
240,THEFT BY FALSE PRETEXT/BUNCO,2003,10
241,THEFT BY PUBLIC SERVANT,2003,2
242,THEFT BY SHOPLIFTING,2003,653
243,THEFT FROM AUTO,2003,227
244,THEFT FROM BUILDING,2003,143
245,THEFT FROM PERSON,2003,97
246,THEFT OF AUTO PARTS,2003,194
247,THEFT OF BICYCLE,2003,386
248,THEFT OF HEAVY EQUIPMENT,2003,6
249,THEFT OF LICENSE PLATE,2003,116
250,THEFT OF SERVICE,2003,367
251,THEFT OF TELECOMMUNICATION SRV,2003,2
252,THEFT OF TRAILER,2003,68
253,THEFT- APPROPRIATE STOLEN PROP,2003,7
254,THEFT/TILL TAPPING,2003,1
255,TOBACCO VIOL - AGE 17,2003,25
256,TOBACCO VIOL - UNDER AGE 17,2003,46
257,TRUANCY,2003,3
258,UCW LICENSE PREMISE,2003,4
259,UNLAWFUL CARRY-LIC HOLDER,2003,3
260,UNLAWFUL CARRYING WEAPON,2003,110
261,UNLAWFUL INTERCEPTION,2003,1
262,UNLAWFUL RESTRAINT,2003,5
263,UNLAWFUL RESTRAINT FAM/DAT VIO,2003,2
264,URINATING IN PUBLIC PLACE,2003,231
265,VIOL CITY ORDINANCE - CURFEW,2003,326
266,VIOL CITY ORDINANCE - DOG,2003,70
267,VIOL CITY ORDINANCE - OTHER,2003,490
268,VIOL CITY ORDINANCE - SOUND,2003,4
269,VIOL CITY ORDINANCE - TITLE 10,2003,1
270,VIOL CITY ORDINANCE - WRECKER,2003,16
271,VIOL CITY ORDINANCE -FIREWORK,2003,18
272,VIOL CIVIL RIGHTS PRISONER,2003,1
273,VIOL GLASS CONTAINER,2003,30
274,VIOL OF COURT ORDER-NON EPO-PO,2003,104
275,VIOL OF EMERG PROTECTIVE ORDER,2003,42
276,VIOL OF PARK CURFEW,2003,166
277,VIOL OF PROTECTIVE ORDER,2003,246
278,VIOL STATE LAW - OTHER,2003,268
279,VIOL STATE MASSAGE REGULATIONS,2003,1
280,VIOL WATER SAFETY ACT,2003,3
281,VOCO - ALCOHOL  CONSUMPTION,2003,392
282,VOCO AMPLIFIED MUSIC/VEHICLE,2003,182
283,WARRANT ARREST NON TRAFFIC,2003,982
284,WEAPON VIOL - OTHER,2003,18
285,ABANDONED REFRIGERATOR,2004,1
286,ABUSE OF OFFICIAL CAPACITY,2004,3
287,AGG ASLT W/MOTOR VEH FAM/DAT V,2004,20
288,AGG ASSAULT,2004,403
289,AGG ASSAULT FAM/DATE VIOLENCE,2004,232
290,AGG ASSAULT ON PUBLIC SERVANT,2004,13
291,AGG ASSAULT WITH MOTOR VEH,2004,56
292,AGG FORCED SODOMY,2004,2
293,AGG FORCED SODOMY OF CHILD,2004,26
294,AGG KIDNAPPING,2004,1
295,AGG RAPE,2004,6
296,AGG RAPE OF A CHILD,2004,30
297,AGG ROBBERY BY ASSAULT,2004,14
298,AGG ROBBERY/DEADLY WEAPON,2004,264
299,AGG SEXUAL ASSAULT CHILD/OBJEC,2004,66
300,AGG SEXUAL ASSAULT W OBJECT,2004,12
301,AMPLIFIED MUSIC / VEHICLE,2004,8
302,APPLIC TO REVOKE PROBATION,2004,47
303,ARSON,2004,54
304,ARSON WITH BODILY INJURY,2004,1
305,ASSAULT BY CONTACT,2004,556
306,ASSAULT BY CONTACT FAM/DATING,2004,311
307,ASSAULT BY THREAT,2004,406
308,ASSAULT BY THREAT FAM/DATING,2004,105
309,ASSAULT ON PUBLIC SERVANT,2004,40
310,ASSAULT W/INJURY-FAM/DATE VIOL,2004,2553
311,ASSAULT WITH INJURY,2004,1224
312,ATT AUTO THEFT,2004,4
313,ATT BURGLARY NON RESIDENCE,2004,10
314,ATT BURGLARY OF RESIDENCE,2004,36
315,ATT THEFT,2004,14
316,AUTO THEFT,2004,1187
317,BAIL JUMPING/FAIL TO APPEAR,2004,1
318,BOMB THREAT,2004,8
319,BREACH OF COMPUTER SECURITY,2004,5
320,BRIBERY,2004,1
321,BURG OF RES - FAM/DATING ASLT,2004,29
322,BURGLARY NON RESIDENCE,2004,971
323,BURGLARY OF COIN-OP MACHINE,2004,124
324,BURGLARY OF RESIDENCE,2004,2715
325,BURGLARY OF VEHICLE,2004,7021
326,CAMPING IN PARK,2004,113
327,CAPITAL MURDER,2004,2
328,CHILD CUSTODY INTERFERE,2004,67
329,CHILD ENDANGERMENT- ABANDONMEN,2004,56
330,CIVIL DISTURBANCE/DEMO,2004,23
331,CONTEMPT OF COURT,2004,1
332,CONTRIBUTE DELINQUENCY MINOR,2004,4
333,CONTROLLED SUB VIOL - OTHER,2004,2
334,COUNTERFEITING,2004,83
335,CRASH/FAIL STOP AND RENDER AID,2004,91
336,CRASH/INTOX MANSLAUGHTER,2004,3
337,CRASH/INTOXICATION ASSAULT,2004,9
338,CRED CARD ABUSE - EXPIR-CANCEL,2004,1
339,CRED CARD ABUSE - OTHER,2004,104
340,CRED CARD ABUSE BY FORGERY,2004,231
341,CRIMES AGAINST ELDERLY,2004,1
342,CRIMINAL MISCHIEF,2004,4010
343,CRIMINAL MISCHIEF BY ARSON,2004,5
344,CRIMINAL SOLICITATION OF MINOR,2004,2
345,CRIMINAL TRESPASS,2004,879
346,CRIMINAL TRESPASS/HOTEL,2004,24
347,CRIMINAL TRESPASS/TRANSIENT,2004,294
348,CRUELTY TO ANIMALS,2004,138
349,CUSTODY ARREST TRAFFIC WARR,2004,2463
350,DAMAGE CITY PROP,2004,251
351,DANG DRUG VIOL - OTHER,2004,4
352,DATING DISTURBANCE,2004,74
353,DEADLY CONDUCT,2004,41
354,DEADLY CONDUCT FAM/DATE VIOL,2004,1
355,DEBIT CARD ABUSE,2004,33
356,DEL CONTROLLED SUB/NARCOTIC,2004,208
357,DEL CONTROLLED SUB/OTHER,2004,9
358,DEL CONTROLLED SUB/SYN NARC,2004,7
359,DEL MARIJUANA,2004,9
360,DEL OF ALCOHOL TO MINOR,2004,3
361,DEL OF DANG DRUG,2004,1
362,DEPENDENT AND NEGLECTED CHILD,2004,4
363,DISPOSAL OF SOLID WASTE,2004,1
364,DISRUPTING MEETING/PROCESSION,2004,1
365,DISRUPTIVE ACTS AT SCHOOLS,2004,1
366,DISTRIB HARMFUL MATERIAL MINOR,2004,1
367,DISTURBANCE - OTHER,2004,1315
368,DOC ABUSE OR THREAT,2004,5
369,DOC ABUSIVE LANGUAGE,2004,36
370,DOC DISCHARGE GUN - PUB PLACE,2004,9
371,DOC DISCHARGE GUN - PUB ROAD,2004,1
372,DOC DISPLAY GUN/DEADLY PUB PLC,2004,33
373,DOC EXPOSURE,2004,35
374,DOC FIGHTING,2004,87
375,DOC OFFENSIVE GESTURE,2004,7
376,DOC UNREASONABLE NOISE,2004,91
377,DOC WINDOW PEEPING-RESIDENCE,2004,41
378,DRIVING WHILE INTOX / FELONY,2004,3
379,DUI - AGE 16 AND UNDER,2004,6
380,DUI - AGE 17 TO 20,2004,65
381,DUMPING REFUSE NEAR HIGHWAY,2004,60
382,DWI,2004,2011
383,DWI - CHILD PASSENGER,2004,2
384,DWI - DRUG RECOGNITION EXPERT,2004,2
385,DWI 2ND,2004,187
386,ENTICING A CHILD,2004,5
387,ESCAPE FROM CUSTODY,2004,7
388,EVADING / FOOT,2004,68
389,EVADING / VEHICLE PURSUIT,2004,68
390,EXPIRED-ATT AGG KIDNAPPING,2004,1
391,EXPIRED-ATT AGG ROBBERY/WEAP,2004,11
392,EXPIRED-ATT AGG SEXUAL ASSAULT,2004,2
393,EXPIRED-ATT CAPITAL MURDER,2004,2
394,EXPIRED-ATT KIDNAPPING,2004,4
395,EXPIRED-ATT ROBBERY BY ASSAULT,2004,7
396,EXPIRED-ATT SEXUAL ASSAULT,2004,15
397,EXPIRED-ATT SEXUAL ASULT CHILD,2004,2
398,EXPIRED-EVADING ARREST,2004,30
399,EXPIRED-INJURY CHILD - ELDERLY,2004,19
400,EXPLOSIVE ORDNANCE DISPOSAL,2004,42
401,FAILURE TO IDENTIFY,2004,368
402,FAILURE TO REG AS SEX OFFENDER,2004,37
403,FALSE ALARM OR REPORT,2004,13
404,FALSE REPORT TO PEACE OFFICER,2004,32
405,FALSE STATEMENT -OBTAIN CREDIT,2004,33
406,FAMILY DISTURBANCE,2004,4403
407,FAMILY DISTURBANCE/PARENTAL,2004,287
408,FEDERAL VIOL/OTHER,2004,14
409,FELONY ENHANCEMENT/ASSLT W/INJ,2004,163
410,FICTITIOUS NAME,2004,1
411,FORCED SODOMY,2004,28
412,FORCED SODOMY OF CHILD,2004,3
413,FORGERY - OTHER,2004,131
414,FORGERY AND PASSING,2004,462
415,FORGERY BY ALTERATION,2004,8
416,FORGERY BY MAKING,2004,33
417,FORGERY OF IDENTIFICATION,2004,8
418,FORGERY- CERTIFICATE OF TITLE,2004,3
419,FRAUD - OTHER,2004,114
420,FRAUD DESTRUCTION OF A WRITING,2004,12
421,GAMBLING,2004,17
422,GRAFFITI,2004,125
423,HARASSMENT,2004,1835
424,HARBORING RUNAWAY CHILD,2004,7
425,HINDER SECURED CREDITORS,2004,16
426,HINDERING APPREHENSION,2004,5
427,HINDERING PROCEEDING,2004,2
428,IDENTITY THEFT,2004,565
429,IMMIGRATION HOLD/ARREST,2004,1
430,IMPERSONATING PUBLIC SERVANT,2004,15
431,IMPROPER CONTACT-SEX ASLT VICT,2004,4
432,INDECENCY WITH A CHILD/CONTACT,2004,199
433,INDECENCY WITH CHILD/EXPOSURE,2004,18
434,INDECENT EXPOSURE,2004,56
435,INHALANT ABUSE,2004,6
436,INJ TO DISABLED  FAM/DATE VIOL,2004,4
437,INJ TO ELDERLY   FAM/DATE VIOL,2004,5
438,INJURY DISABLED INDIVIDUAL,2004,9
439,INJURY TO CHILD,2004,39
440,INJURY TO CHILD (CARE/CUSTODY),2004,74
441,INJURY TO ELDERLY PERSON,2004,10
442,INTER EMERG PHONECALL FAM/DATE,2004,17
443,INTERFERE W PO SERVICE ANIMALS,2004,6
444,INTERFERENCE PUBLIC DUTIES,2004,4
445,INTERFERING W/EMERG PHONE CALL,2004,4
446,INVASIVE VISUAL RECORDING,2004,15
447,KIDNAPPING,2004,9
448,LIQUOR LAW VIOLATION/OTHER,2004,85
449,LITTERING,2004,61
450,MAKING TOBACCO AVAIL TO MINOR,2004,1
451,MANF CONTROLLED SUB - OTHER,2004,4
452,MANSLAUGHTER,2004,1
453,MISAPPLY FIDUCIARY PROP,2004,4
454,MISUSE OF OFFICIAL INFO,2004,2
455,MONEY LAUNDERING,2004,2
456,MURDER,2004,8
457,NUISANCE ABATEMENT,2004,7
458,OBTAIN CONTROLLED SUB BY FRAUD,2004,29
459,OBTAIN DANG DRUG BY FRAUD,2004,3
460,OFFICIAL OPPRESSION,2004,1
461,PAROLE VIOL,2004,38
462,PERJURY,2004,1
463,PIGEON DROP,2004,5
464,POCKET PICKING,2004,2
465,POSS CONTROLLED SUB/NARCOTIC,2004,839
466,POSS CONTROLLED SUB/OTHER,2004,28
467,POSS CONTROLLED SUB/SYN NARC,2004,12
468,POSS CRIMINAL INSTRUMENT,2004,2
469,POSS DANG DRUG,2004,50
470,POSS OF ALCOHOL - AGE 17 TO 20,2004,202
471,POSS OF ALCOHOL-AGE 16 & UNDER,2004,18
472,POSS OF DRUG PARAPHERNALIA,2004,1125
473,POSS OF FIREARM BY FELON,2004,31
474,POSS OF GAMBLING PARAPHERNALIA,2004,1
475,POSS OF PROHIBITED WEAPON,2004,25
476,POSS/PROMO CHILD PORNOGRAPHY,2004,12
477,POSSESSION OF MARIJUANA,2004,544
478,PROBATION VIOL,2004,16
479,PROMOTION OF PROSTITUTION,2004,6
480,PROSTITUTION,2004,182
481,PROTECTIVE ORDER,2004,126
482,PROWLER,2004,36
483,PUBLIC INTOXICATION,2004,2289
484,PUBLIC LEWDNESS,2004,25
485,PURSE SNATCHING,2004,8
486,RAPE,2004,143
487,RAPE OF A CHILD,2004,21
488,RECKLESS CONDUCT,2004,2
489,RECKLESS DAMAGE,2004,15
490,RESISTING ARREST OR SEARCH,2004,22
491,RETALIATION,2004,34
492,ROBBERY BY ASSAULT,2004,238
493,ROBBERY BY THREAT,2004,54
494,RUNAWAY CHILD,2004,1384
495,SALE OF LIQ WITHOUT PERMIT,2004,1
496,SECURING EXEC-DOC BY DECEPTION,2004,1
497,SERIOUS INJURY TO A CHILD,2004,10
498,SEXUAL ASSAULT OF CHILD/OBJECT,2004,113
499,SEXUAL ASSAULT W/ OBJECT,2004,78
500,SEXUAL PERFORMANCE BY CHILD,2004,2
501,SLEEPING IN PUBLIC PLACE,2004,1
502,SMUGGLING ILLEGAL ALIEN,2004,1
503,SOLICITATION - BEGGING,2004,108
504,STALKING,2004,63
505,STATUTORY RAPE OF CHILD,2004,92
506,SUSPICIOUS PERSON,2004,603
507,TAKE WEAPON FRM POLICE OFFICER,2004,3
508,TAMPERING WITH EVIDENCE,2004,17
509,TAMPERING WITH GOV RECORD,2004,7
510,TAMPERING WITH ID NUMBER,2004,3
511,TELECOMMUNICATION CRIMES/OTHER,2004,1
512,TERRORISTIC THREAT,2004,344
513,TERRORISTIC THREAT-FAM/DAT VIO,2004,47
514,THEFT,2004,4755
515,THEFT BY CHECK,2004,47
516,THEFT BY EMBEZZLEMENT,2004,12
517,THEFT BY EXTORTION,2004,6
518,THEFT BY FALSE PRETEXT/BUNCO,2004,3
519,THEFT BY PUBLIC SERVANT,2004,2
520,THEFT BY SHOPLIFTING,2004,454
521,THEFT FROM AUTO,2004,240
522,THEFT FROM BUILDING,2004,45
523,THEFT FROM PERSON,2004,111
524,THEFT OF AUTO PARTS,2004,142
525,THEFT OF BICYCLE,2004,334
526,THEFT OF HEAVY EQUIPMENT,2004,5
527,THEFT OF LICENSE PLATE,2004,127
528,THEFT OF SERVICE,2004,311
529,THEFT OF TELECOMMUNICATION SRV,2004,5
530,THEFT OF TRAILER,2004,86
531,THEFT- APPROPRIATE STOLEN PROP,2004,12
532,TOBACCO VIOL - AGE 17,2004,20
533,TOBACCO VIOL - UNDER AGE 17,2004,41
534,TRUANCY,2004,2
535,UCW LICENSE PREMISE,2004,4
536,UNLAWFUL CARRYING WEAPON,2004,111
537,UNLAWFUL RESTRAINT,2004,2
538,UNLAWFUL RESTRAINT FAM/DAT VIO,2004,2
539,URINATING IN PUBLIC PLACE,2004,230
540,VIOL CITY ORDINANCE - CURFEW,2004,380
541,VIOL CITY ORDINANCE - DOG,2004,57
542,VIOL CITY ORDINANCE - OTHER,2004,497
543,VIOL CITY ORDINANCE - SOUND,2004,4
544,VIOL CITY ORDINANCE - TITLE 10,2004,1
545,VIOL CITY ORDINANCE - WRECKER,2004,20
546,VIOL CITY ORDINANCE -FIREWORK,2004,6
547,VIOL GLASS CONTAINER,2004,38
548,VIOL OF COURT ORDER-NON EPO-PO,2004,112
549,VIOL OF EMERG PROTECTIVE ORDER,2004,38
550,VIOL OF PARK CURFEW,2004,110
551,VIOL OF PROTECTIVE ORDER,2004,186
552,VIOL STATE LAW - OTHER,2004,241
553,VIOL WATER SAFETY ACT,2004,1
554,VOCO - ALCOHOL  CONSUMPTION,2004,418
555,VOCO AMPLIFIED MUSIC/VEHICLE,2004,146
556,WARRANT ARREST NON TRAFFIC,2004,838
557,WEAPON VIOL - OTHER,2004,10
558,ABANDONED REFRIGERATOR,2005,2
559,AGG ASLT W/MOTOR VEH FAM/DAT V,2005,19
560,AGG ASSAULT,2005,376
561,AGG ASSAULT FAM/DATE VIOLENCE,2005,263
562,AGG ASSAULT ON PUBLIC SERVANT,2005,7
563,AGG ASSAULT WITH MOTOR VEH,2005,45
564,AGG FORCED SODOMY,2005,2
565,AGG FORCED SODOMY OF CHILD,2005,19
566,AGG KIDNAPPING,2005,4
567,AGG RAPE,2005,12
568,AGG RAPE OF A CHILD,2005,29
569,AGG ROBBERY BY ASSAULT,2005,18
570,AGG ROBBERY/DEADLY WEAPON,2005,236
571,AGG SEXUAL ASSAULT CHILD/OBJEC,2005,67
572,AGG SEXUAL ASSAULT W OBJECT,2005,4
573,AIRPORT PLACES WEAPON PROHIBIT,2005,1
574,AMPLIFIED MUSIC / VEHICLE,2005,5
575,APPLIC TO REVOKE PROBATION,2005,40
576,ARSON,2005,43
577,ARSON WITH BODILY INJURY,2005,1
578,ASSAULT BY CONTACT,2005,602
579,ASSAULT BY CONTACT FAM/DATING,2005,306
